oo,op,n,t
1,sub,69,2.86102294921875e-06
0,add,70,1.9073486328125e-06
1,add,70,3.0994415283203125e-06
0,sub,70,1.6689300537109375e-06
1,sub,70,4.291534423828125e-06
0,add,71,2.1457672119140625e-06
1,add,71,2.86102294921875e-06
0,sub,71,3.0994415283203125e-06
1,sub,71,3.814697265625e-06
0,add,72,2.1457672119140625e-06
1,add,72,4.0531158447265625e-06
0,sub,72,2.86102294921875e-06
1,sub,72,3.0994415283203125e-06
0,add,73,1.9073486328125e-06
1,add,73,3.0994415283203125e-06
0,sub,73,3.0994415283203125e-06
1,sub,73,3.814697265625e-06
0,add,74,3.0994415283203125e-06
1,add,74,3.814697265625e-06
0,sub,74,3.0994415283203125e-06
1,sub,74,3.0994415283203125e-06
0,add,75,2.86102294921875e-06
1,add,75,4.291534423828125e-06
0,sub,75,2.6226043701171875e-06
1,sub,75,4.0531158447265625e-06
0,add,76,1.9073486328125e-06
1,add,76,4.0531158447265625e-06
0,sub,76,3.0994415283203125e-06
1,sub,76,2.86102294921875e-06
0,add,77,2.1457672119140625e-06
1,add,77,3.814697265625e-06
0,sub,77,3.0994415283203125e-06
1,sub,77,3.0994415283203125e-06
0,add,78,3.0994415283203125e-06
1,add,78,3.814697265625e-06
0,sub,78,3.0994415283203125e-06
1,sub,78,4.0531158447265625e-06
0,add,79,3.0994415283203125e-06
1,add,79,3.814697265625e-06
0,sub,79,3.0994415283203125e-06
1,sub,79,3.814697265625e-06
0,add,80,2.6226043701171875e-06
1,add,80,4.0531158447265625e-06
